Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
43,15,2000-05-30,WCF,LAL,POR,5,1,34:16:00,4,13,0.308,1,3,0.333,8,9,0.889,1,4,5,4,0,2,6,6,17,6.8,-4,2000
44,16,2000-06-02,WCF,LAL,POR,6,1,48:00:00,12,24,0.5,6,9,0.667,3,6,0.5,0,2,2,6,4,3,3,5,33,25.7,-10,2000
45,17,2000-06-04,WCF,LAL,POR,7,1,46:57:00,9,19,0.474,1,4,0.25,6,12,0.5,0,11,11,7,0,4,2,4,25,20.3,8,2000
46,18,2000-06-07,FIN,LAL,IND,1,1,38:24:00,6,13,0.462,0,2,0,2,2,1,0,3,3,5,1,2,2,4,14,10.5,15,2000
47,19,2000-06-09,FIN,LAL,IND,2,1,8:55,1,3,0.333,0,1,0,0,0,,0,1,1,4,0,1,0,1,2,3.7,3,2000
48,20,2000-06-14,FIN,LAL,IND,4,1,46:49:00,14,27,0.519,0,0,,0,0,,2,2,4,5,1,2,3,4,28,18,2,2000
49,21,2000-06-16,FIN,LAL,IND,5,1,36:44:00,4,20,0.2,0,1,0,0,0,,1,4,5,3,2,0,0,5,8,-0.4,-22,2000
50,22,2000-06-19,FIN,LAL,IND,6,1,44:44:00,8,27,0.296,2,6,0.333,8,9,0.889,3,7,10,4,1,2,1,4,26,16.7,7,2000
51,1,2001-04-22,WC1,LAL,POR,1,1,40:58:00,9,20,0.45,1,2,0.5,9,12,0.75,1,5,6,7,2,0,0,4,28,23.9,26,2001
52,2,2001-04-26,WC1,LAL,POR,2,1,34:55:00,8,11,0.727,1,2,0.5,8,10,0.8,2,1,3,7,3,0,3,3,25,25.1,24,2001
53,3,2001-04-29,WC1,LAL,POR,3,1,42:39:00,9,23,0.391,0,2,0,4,6,0.667,1,3,4,9,2,0,3,4,22,14,16,2001
54,4,2001-05-06,WCS,LAL,SAC,1,1,39:13:00,10,23,0.435,0,1,0,9,11,0.818,3,1,4,5,0,0,5,4,29,15.4,-1,2001
55,5,2001-05-08,WCS,LAL,SAC,2,1,47:07:00,9,19,0.474,0,2,0,9,10,0.9,1,8,9,5,1,1,4,4,27,19.6,10,2001
